"owner_id","owner_tag","location_count","classified_location_count","solver_size","solve_mode","exact_status","runtime_status","runtime_gate_possible","runtime_gate_passed","runtime_strategy","runtime_strategy_name","runtime_approx_reason","runtime_approx_reason_name","candidate_attempt_count","candidate_count","candidate_gate_count","nobles_raw_deviation","nobles_approx_deviation","clergy_raw_deviation","clergy_approx_deviation","burghers_raw_deviation","burghers_approx_deviation","lower_raw_deviation","lower_approx_deviation","factor_nobles","factor_clergy","factor_burghers","factor_lower","selected_average_improvement_ratio","selected_average_absolute_improvement","total_residual","raw_total_residual"
"22","CYP","7","7","3","3","-2","1","1","1","2","improvement_l2","0","none","11","3","1","-0.04156","0.00289","-0.26550","-0.05593","1.35513","1.07222","-1.04814","-1.01920","0.00000","3.57076","0.93561","0.00000","0.48902","0.14001","-0.00004","-0.00007"
"23","DIL","2","2","3","3","-1","-8","1","0","0","raw_fallback","4","no_valid_candidate","3","0","0","0.03527","0.03527","-0.07092","-0.07092","0.15282","0.15282","-0.11717","-0.11717","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"24","DUL","11","10","3","3","-2","1","1","1","2","improvement_l2","0","none","11","3","2","0.03624","0.00875","-0.08955","-0.08213","0.40694","0.27646","-0.35374","-0.20301","0.00000","0.00000","0.90583","2.47511","0.39709","0.07902","-0.00004","-0.00011"
"25","ERE","42","36","3","3","-2","1","1","1","2","improvement_l2","0","none","11","3","1","1.91038","1.37830","-1.10690","-0.85629","0.78397","0.06004","-1.58766","-0.58157","0.00000","0.00000","0.85132","3.21508","0.51546","0.62813","-0.00006","-0.00021"
"26","GRM","17","12","3","3","-2","-8","1","0","0","raw_fallback","5","no_gate_candidate","11","3","0","0.97702","0.97702","-0.55113","-0.55113","0.40067","0.40067","-0.82663","-0.82663","1.00000","1.00000","1.00000","1.00000","","","","-0.00007"
"27","HMD","8","7","3","3","-2","-8","1","0","0","raw_fallback","5","no_gate_candidate","11","4","0","0.76564","0.76564","-0.49692","-0.49692","0.37621","0.37621","-0.64497","-0.64497","1.00000","1.00000","1.00000","1.00000","","","","-0.00004"
"28","HCI","1","1","5","3","-1","-8","1","0","0","raw_fallback","2","one_or_fewer_classes","0","0","0","0.15663","0.15663","-0.02606","-0.02606","0.00759","0.00759","-0.13816","-0.13816","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"29","HSN","2","2","3","3","-1","-8","1","0","0","raw_fallback","4","no_valid_candidate","3","0","0","0.08282","0.08282","0.00191","0.00191","0.00556","0.00556","-0.09031","-0.09031","1.00000","1.00000","1.00000","1.00000","","","","-0.00002"
"30","INA","2","2","3","3","-1","-8","1","0","0","raw_fallback","4","no_valid_candidate","3","0","0","0.17476","0.17476","-0.06161","-0.06161","-0.00780","-0.00780","-0.10536","-0.10536","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"31","KAR","33","26","3","3","-2","-8","1","0","0","raw_fallback","5","no_gate_candidate","11","3","0","1.06947","1.06947","-0.82640","-0.82640","1.30375","1.30375","-1.54701","-1.54701","1.00000","1.00000","1.00000","1.00000","","","","-0.00019"
"32","KBD","5","5","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","7","5","0","0.39198","0.39198","-0.04414","-0.04414","-0.13512","-0.13512","-0.21275","-0.21275","1.00000","1.00000","1.00000","1.00000","","","","-0.00003"
"33","KRD","18","13","3","3","-2","1","1","1","2","improvement_l2","0","none","11","5","1","0.89468","0.72081","-0.06779","0.02389","0.78330","0.52731","-1.61032","-1.27203","0.00000","0.00000","0.82252","2.02808","0.34477","0.20301","-0.00005","-0.00013"
"34","MEN","8","7","3","3","-2","-8","1","0","0","raw_fallback","5","no_gate_candidate","11","3","0","0.27698","0.27698","-0.04879","-0.04879","0.27144","0.27144","-0.49970","-0.49970","1.00000","1.00000","1.00000","1.00000","","","","-0.00007"
"35","SHP","3","3","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","3","2","0","0.33840","0.33840","-0.38883","-0.38883","0.38614","0.38614","-0.33575","-0.33575","1.00000","1.00000","1.00000","1.00000","","","","-0.00004"
"36","SRU","6","6","3","3","-2","-8","1","0","0","raw_fallback","5","no_gate_candidate","11","3","0","0.45994","0.45994","-0.20482","-0.20482","0.53954","0.53954","-0.79471","-0.79471","1.00000","1.00000","1.00000","1.00000","","","","-0.00005"
"37","SUT","22","13","3","3","-2","-8","1","0","0","raw_fallback","5","no_gate_candidate","11","5","0","0.93933","0.93933","-0.71629","-0.71629","-0.02610","-0.02610","-0.19705","-0.19705","1.00000","1.00000","1.00000","1.00000","","","","-0.00011"
"38","TDJ","5","5","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","7","2","0","0.66453","0.66453","-0.20584","-0.20584","-0.01731","-0.01731","-0.44151","-0.44151","1.00000","1.00000","1.00000","1.00000","","","","-0.00013"
"39","TEK","7","6","3","3","-2","-8","1","0","0","raw_fallback","4","no_valid_candidate","11","0","0","0.07799","0.07799","-0.14331","-0.14331","0.36429","0.36429","-0.29898","-0.29898","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"40","TRE","8","6","3","3","-1","1","1","1","2","improvement_l2","0","none","7","5","1","-2.69163","-0.93886","0.69993","0.65835","1.74167","0.30429","0.24989","-0.02347","28.48556","0.00000","0.00000","0.83455","0.61032","0.86453","-0.00017","-0.00014"
"41","TUR","23","20","3","3","-2","1","1","1","2","improvement_l2","0","none","11","3","1","0.04343","0.00073","-1.12153","-1.00629","8.42170","7.85480","-7.34373","-6.84932","0.00000","0.00000","0.98095","1.93638","0.30507","0.30478","-0.00011","-0.00013"
"42","BHT","3","3","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","3","2","0","0.06764","0.06764","-0.01115","-0.01115","0.00578","0.00578","-0.06228","-0.06228","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"43","BIN","2","2","3","3","-1","-8","1","0","0","raw_fallback","4","no_valid_candidate","3","0","0","0.11216","0.11216","0.02915","0.02915","0.00295","0.00295","-0.14429","-0.14429","1.00000","1.00000","1.00000","1.00000","","","","-0.00003"
"44","BIT","2","2","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.06940","0.06940","-0.03013","-0.03013","0.00000","0.00000","-0.03929","-0.03929","1.00000","1.00000","1.00000","1.00000","","","","-0.00002"
"45","CEM","3","3","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","7","1","0","0.10069","0.10069","-0.04534","-0.04534","0.04780","0.04780","-0.10317","-0.10317","1.00000","1.00000","1.00000","1.00000","","","","-0.00002"
"46","DSN","2","2","3","3","-1","-8","1","0","0","raw_fallback","4","no_valid_candidate","3","0","0","0.05403","0.05403","0.00582","0.00582","0.00891","0.00891","-0.06877","-0.06877","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"47","DMB","1","1","5","3","-1","-8","1","0","0","raw_fallback","2","one_or_fewer_classes","0","0","0","0.04038","0.04038","-0.01646","-0.01646","0.00089","0.00089","-0.02481","-0.02481","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"48","EGL","2","2","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.09641","0.09641","-0.02329","-0.02329","0.00000","0.00000","-0.07314","-0.07314","1.00000","1.00000","1.00000","1.00000","","","","-0.00002"
"49","HKK","2","2","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.18536","0.18536","-0.03623","-0.03623","0.00000","0.00000","-0.14913","-0.14913","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"50","HZN","1","1","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.02125","0.02125","-0.00413","-0.00413","0.00000","0.00000","-0.01713","-0.01713","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"51","HZR","4","3","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","7","1","0","0.08824","0.08824","-0.04086","-0.04086","-0.00017","-0.00017","-0.04722","-0.04722","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"52","JLM","6","4","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","3","3","0","0.23283","0.23283","-0.23024","-0.23024","0.21144","0.21144","-0.21408","-0.21408","1.00000","1.00000","1.00000","1.00000","","","","-0.00005"
"53","MZJ","1","1","5","3","-1","-8","1","0","0","raw_fallback","2","one_or_fewer_classes","0","0","0","0.04985","0.04985","-0.01615","-0.01615","0.00014","0.00014","-0.03384","-0.03384","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"54","MUS","1","1","5","3","-1","-8","1","0","0","raw_fallback","2","one_or_fewer_classes","0","0","0","0.11590","0.11590","-0.05108","-0.05108","-0.00674","-0.00674","-0.05810","-0.05810","1.00000","1.00000","1.00000","1.00000","","","","-0.00002"
"55","SOH","1","1","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.04489","0.04489","-0.00628","-0.00628","0.00000","0.00000","-0.03862","-0.03862","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"56","ZRQ","1","1","5","3","-1","-8","1","0","0","raw_fallback","2","one_or_fewer_classes","0","0","0","0.00704","0.00704","-0.00265","-0.00265","0.00198","0.00198","-0.00638","-0.00638","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"57","ZZR","1","1","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.01969","0.01969","-0.00226","-0.00226","0.00000","0.00000","-0.01743","-0.01743","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"58","KIL","3","3","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.16479","0.16479","0.00392","0.00392","0.00000","0.00000","-0.16876","-0.16876","1.00000","1.00000","1.00000","1.00000","","","","-0.00005"
"59","TVS","1","1","5","3","-1","-8","1","0","0","raw_fallback","2","one_or_fewer_classes","0","0","0","0.40615","0.40615","0.00648","0.00648","0.03545","0.03545","-0.44808","-0.44808","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"61","CHM","4","4","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","3","1","0","0.04549","0.04549","0.02318","0.02318","0.03294","0.03294","-0.10168","-0.10168","1.00000","1.00000","1.00000","1.00000","","","","-0.00007"
"62","XLL","5","5","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","3","2","0","0.17299","0.17299","-0.20920","-0.20920","-0.04868","-0.04868","0.08487","0.08487","1.00000","1.00000","1.00000","1.00000","","","","-0.00002"
"63","CYA","10","10","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","7","1","0","0.02006","0.02006","-0.06633","-0.06633","-0.00061","-0.00061","0.04689","0.04689","1.00000","1.00000","1.00000","1.00000","","","","0.00001"
"65","ICM","3","3","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","7","6","0","0.13455","0.13455","-0.46162","-0.46162","0.00123","0.00123","0.32586","0.32586","1.00000","1.00000","1.00000","1.00000","","","","0.00002"
"67","HNK","5","5","3","3","-2","-8","1","0","0","raw_fallback","5","no_gate_candidate","11","7","0","0.19721","0.19721","-0.36772","-0.36772","-0.00771","-0.00771","0.17822","0.17822","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"68","URC","3","3","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","7","2","0","0.17837","0.17837","-0.20791","-0.20791","0.00188","0.00188","0.02764","0.02764","1.00000","1.00000","1.00000","1.00000","","","","-0.00002"
"69","CIC","3","3","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","3","2","0","0.01930","0.01930","-0.46820","-0.46820","0.57617","0.57617","-0.12730","-0.12730","1.00000","1.00000","1.00000","1.00000","","","","-0.00003"
"70","CSU","2","2","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.05725","0.05725","-0.05832","-0.05832","0.00000","0.00000","0.00105","0.00105","1.00000","1.00000","1.00000","1.00000","","","","-0.00002"
"71","AYA","4","4","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","7","6","0","0.40657","0.40657","-0.52491","-0.52491","-0.00070","-0.00070","0.11904","0.11904","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"72","PIG","1","1","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.08425","0.08425","-0.09709","-0.09709","0.00000","0.00000","0.01284","0.01284","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"73","PCJ","7","7","3","3","-2","-1","1","1","2","improvement_l2","0","none","11","4","1","0.50461","0.48532","-0.64718","-0.61283","0.00523","-0.00017","0.13727","0.12901","0.00000","68.65543","0.68135","0.00000","0.27935","0.01673","-0.00003","-0.00007"
"74","LUP","3","3","3","3","-1","-8","1","0","0","raw_fallback","4","no_valid_candidate","3","0","0","0.39969","0.39969","-0.23782","-0.23782","-0.04341","-0.04341","-0.11852","-0.11852","1.00000","1.00000","1.00000","1.00000","","","","-0.00006"
"76","CAV","1","0","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"77","MLT","1","1","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.00044","0.00044","-0.00036","-0.00036","0.00001","0.00001","-0.00010","-0.00010","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"78","GRR","1","0","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"86","CRA","5","3","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.04468","0.04468","-0.02002","-0.02002","0.00000","0.00000","-0.02467","-0.02467","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"87","KNA","3","3","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","7","3","0","0.13072","0.13072","-0.21143","-0.21143","0.02834","0.02834","0.05236","0.05236","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"88","KRK","3","3","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.03877","0.03877","-0.05415","-0.05415","0.00000","0.00000","0.01537","0.01537","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"89","QUL","3","3","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","3","1","0","0.37853","0.37853","-0.27177","-0.27177","-0.02466","-0.02466","-0.08212","-0.08212","1.00000","1.00000","1.00000","1.00000","","","","-0.00002"
"90","SUR","4","4","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.14565","0.14565","-0.21984","-0.21984","0.00000","0.00000","0.07419","0.07419","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"93","HCH","1","1","5","3","-1","-8","1","0","0","raw_fallback","2","one_or_fewer_classes","0","0","0","0.01359","0.01359","-0.01758","-0.01758","0.00040","0.00040","0.00359","0.00359","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"94","CUI","4","4","3","3","-2","-8","1","0","0","raw_fallback","4","no_valid_candidate","11","0","0","0.20707","0.20707","-0.23100","-0.23100","-0.00885","-0.00885","0.03278","0.03278","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"98","CLQ","1","1","5","3","-1","-8","1","0","0","raw_fallback","2","one_or_fewer_classes","0","0","0","0.02198","0.02198","-0.02543","-0.02543","0.00025","0.00025","0.00320","0.00320","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"99","NTA","1","1","5","3","-1","-8","1","0","0","raw_fallback","2","one_or_fewer_classes","0","0","0","0.12715","0.12715","-0.12803","-0.12803","0.00611","0.00611","-0.00522","-0.00522","1.00000","1.00000","1.00000","1.00000","","","","0.00001"
"105","HRC","3","3","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","7","1","0","0.10209","0.10209","-0.11277","-0.11277","0.00081","0.00081","0.00985","0.00985","1.00000","1.00000","1.00000","1.00000","","","","-0.00002"
"106","SRA","1","1","5","3","-1","-8","1","0","0","raw_fallback","2","one_or_fewer_classes","0","0","0","0.02478","0.02478","-0.02535","-0.02535","-0.00017","-0.00017","0.00075","0.00075","1.00000","1.00000","1.00000","1.00000","","","","0.00001"
"107","MYM","2","1","5","3","-1","-8","1","0","0","raw_fallback","2","one_or_fewer_classes","0","0","0","0.04056","0.04056","-0.03016","-0.03016","-0.00042","-0.00042","-0.00999","-0.00999","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"108","PCR","2","2","3","3","-1","-8","1","0","0","raw_fallback","4","no_valid_candidate","3","0","0","0.13546","0.13546","-0.12572","-0.12572","0.00008","0.00008","-0.00983","-0.00983","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"109","PCO","1","1","5","3","-1","-8","1","0","0","raw_fallback","2","one_or_fewer_classes","0","0","0","0.07602","0.07602","-0.08213","-0.08213","0.00005","0.00005","0.00605","0.00605","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"110","ANI","1","1","5","3","-1","-8","1","0","0","raw_fallback","2","one_or_fewer_classes","0","0","0","0.02373","0.02373","-0.01663","-0.01663","-0.00085","-0.00085","-0.00626","-0.00626","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"111","CHJ","2","2","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","3","1","0","0.04625","0.04625","-0.05322","-0.05322","-0.00020","-0.00020","0.00718","0.00718","1.00000","1.00000","1.00000","1.00000","","","","0.00001"
"113","CNC","1","1","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.01886","0.01886","-0.01961","-0.01961","0.00000","0.00000","0.00074","0.00074","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"116","UMA","1","1","5","3","-1","-8","1","0","0","raw_fallback","2","one_or_fewer_classes","0","0","0","0.00666","0.00666","-0.01462","-0.01462","0.00670","0.00670","0.00126","0.00126","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"123","KKE","3","2","3","3","-1","-8","1","0","0","raw_fallback","4","no_valid_candidate","3","0","0","0.48580","0.48580","-0.32011","-0.32011","-0.01008","-0.01008","-0.15563","-0.15563","1.00000","1.00000","1.00000","1.00000","","","","-0.00002"
"134","YEM","69","69","3","3","-2","1","1","1","2","improvement_l2","0","none","11","6","1","-0.67310","-0.00969","1.58804","1.43485","1.43555","-0.07079","-2.35109","-1.35354","6.99512","0.00000","0.73914","5.67874","0.61413","0.79464","-0.00004","-0.00060"
"135","JRW","25","21","3","3","-2","1","1","1","2","improvement_l2","0","none","11","3","1","-0.16987","0.04215","-0.21542","-0.17010","1.40185","0.96331","-1.01677","-0.83531","0.00000","0.00000","0.72282","2.27612","0.36338","0.19824","-0.00006","-0.00021"
"136","OMA","7","7","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.08743","0.08743","-0.00052","-0.00052","0.00000","0.00000","-0.08695","-0.08695","1.00000","1.00000","1.00000","1.00000","","","","-0.00004"
"137","MEC","22","19","3","3","-2","-8","1","0","0","raw_fallback","5","no_gate_candidate","11","5","0","0.93928","0.93928","-0.16124","-0.16124","0.65820","0.65820","-1.43644","-1.43644","1.00000","1.00000","1.00000","1.00000","","","","-0.00020"
"138","SHM","7","7","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.02118","0.02118","-0.00394","-0.00394","0.00000","0.00000","-0.01727","-0.01727","1.00000","1.00000","1.00000","1.00000","","","","-0.00003"
"139","ANZ","5","5","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.04970","0.04970","-0.00302","-0.00302","0.00000","0.00000","-0.04667","-0.04667","1.00000","1.00000","1.00000","1.00000","","","","0.00001"
"140","HUT","5","5","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.02978","0.02978","-0.00681","-0.00681","0.00000","0.00000","-0.02297","-0.02297","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"141","HRB","7","7","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.35539","0.35539","-0.07101","-0.07101","0.00000","0.00000","-0.28439","-0.28439","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"142","MUT","10","10","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.24456","0.24456","0.07237","0.07237","0.00000","0.00000","-0.31691","-0.31691","1.00000","1.00000","1.00000","1.00000","","","","0.00002"
"143","UTB","7","7","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.23840","0.23840","-0.07473","-0.07473","0.00000","0.00000","-0.16370","-0.16370","1.00000","1.00000","1.00000","1.00000","","","","-0.00003"
"144","DWS","9","9","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.14417","0.14417","-0.00117","-0.00117","0.00000","0.00000","-0.14301","-0.14301","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"145","QHT","11","11","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.63035","0.63035","-0.18951","-0.18951","0.00000","0.00000","-0.44090","-0.44090","1.00000","1.00000","1.00000","1.00000","","","","-0.00006"
"146","SBY","26","20","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.47585","0.47585","-0.09662","-0.09662","0.00000","0.00000","-0.37925","-0.37925","1.00000","1.00000","1.00000","1.00000","","","","-0.00002"
"147","MRH","1","1","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.01516","0.01516","0.00196","0.00196","0.00000","0.00000","-0.01712","-0.01712","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"148","YAM","7","7","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.22837","0.22837","-0.02916","-0.02916","0.00000","0.00000","-0.19923","-0.19923","1.00000","1.00000","1.00000","1.00000","","","","-0.00002"
"149","YAS","3","3","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.11953","0.11953","-0.05594","-0.05594","0.00000","0.00000","-0.06359","-0.06359","1.00000","1.00000","1.00000","1.00000","","","","0.00000"
"150","MDA","12","12","3","3","-2","1","1","1","2","improvement_l2","0","none","11","4","1","-0.04713","0.00636","0.08498","0.06778","0.20285","0.07534","-0.24077","-0.14940","0.00000","4.31094","0.76417","1.73809","0.51918","0.06922","-0.00005","-0.00007"
"151","KLB","5","5","3","3","-2","-8","1","0","0","raw_fallback","5","no_gate_candidate","11","3","0","0.09435","0.09435","0.00081","0.00081","0.43417","0.43417","-0.52936","-0.52936","1.00000","1.00000","1.00000","1.00000","","","","-0.00003"
"152","AAD","7","7","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.17576","0.17576","-0.04227","-0.04227","0.00000","0.00000","-0.13353","-0.13353","1.00000","1.00000","1.00000","1.00000","","","","-0.00004"
"153","BNL","26","26","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.69090","0.69090","0.00456","0.00456","0.00000","0.00000","-0.69550","-0.69550","1.00000","1.00000","1.00000","1.00000","","","","-0.00004"
"154","AZF","3","3","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","7","1","0","0.08392","0.08392","-0.07986","-0.07986","0.04897","0.04897","-0.05306","-0.05306","1.00000","1.00000","1.00000","1.00000","","","","-0.00003"
